id,created,object,owned_by
gpt-5-search-api,1759514629,model,system
gpt-5-search-api-2025-10-14,1760043960,model,system
tts-1,1681940951,model,openai-internal
dall-e-2,1698798177,model,system
tts-1-1106,1699053241,model,system
gpt-4-turbo-2024-04-09,1712601677,model,system
gpt-audio,1756339249,model,system
gpt-4o-mini-tts,1742403959,model,system
gpt-4-turbo,1712361441,model,system
gpt-realtime,1756271701,model,system
gpt-realtime-2025-08-28,1756271773,model,system
gpt-4.1-mini,1744318173,model,system
gpt-4.1-mini-2025-04-14,1744317547,model,system
gpt-3.5-turbo-1106,1698959748,model,system
gpt-4-0125-preview,1706037612,model,system
davinci-002,1692634301,model,system
gpt-4-turbo-preview,1706037777,model,system
gpt-4-0613,1686588896,model,openai
gpt-4,1687882411,model,openai
gpt-4.1,1744316542,model,system
gpt-4.1-2025-04-14,1744315746,model,system
dall-e-3,1698785189,model,system
gpt-4.1-nano,1744321707,model,system
gpt-3.5-turbo-instruct-0914,1694122472,model,system
whisper-1,1677532384,model,openai-internal
o1-2024-12-17,1734326976,model,system
gpt-4.1-nano-2025-04-14,1744321025,model,system
gpt-3.5-turbo-16k,1683758102,model,openai-internal
gpt-audio-2025-08-28,1756256146,model,system
gpt-3.5-turbo-instruct,1692901427,model,system
gpt-4o-2024-11-20,1739331543,model,system
gpt-4o-2024-05-13,1715368132,model,system
gpt-4o-mini-search-preview,1741391161,model,system
gpt-4o-mini-search-preview-2025-03-11,1741390858,model,system
gpt-5.1-chat-latest,1762547951,model,system
gpt-4o-search-preview,1741388720,model,system
omni-moderation-latest,1731689265,model,system
o1-pro,1742251791,model,system
o1-pro-2025-03-19,1742251504,model,system
gpt-5.1-codex-mini,1763007109,model,system
gpt-4o-search-preview-2025-03-11,1741388170,model,system
text-embedding-3-small,1705948997,model,system
o4-mini-deep-research-2025-06-26,1750866121,model,system
o4-mini-deep-research,1749685485,model,system
codex-mini-latest,1746673257,model,system
gpt-4o-2024-08-06,1722814719,model,system
o1,1734375816,model,system
gpt-4o-mini-2024-07-18,1721172717,model,system
gpt-4o-mini,1721172741,model,system
gpt-4o-mini-audio-preview,1734387424,model,system
gpt-image-1-mini,1758845821,model,system
gpt-5-mini,1754425928,model,system
gpt-image-1,1745517030,model,system
gpt-5-mini-2025-08-07,1754425867,model,system
omni-moderation-2024-09-26,1732734466,model,system
gpt-5,1754425777,model,system
o3-pro,1748475349,model,system
text-embedding-ada-002,1671217299,model,openai-internal
gpt-5-nano-2025-08-07,1754426303,model,system
gpt-4o-audio-preview-2024-12-17,1734034239,model,system
gpt-5-nano,1754426384,model,system
gpt-5.1-2025-11-13,1762800353,model,system
tts-1-hd-1106,1699053533,model,system
tts-1-hd,1699046015,model,system
gpt-3.5-turbo-0125,1706048358,model,system
gpt-audio-mini,1759512027,model,system
gpt-audio-mini-2025-10-06,1759512137,model,system
gpt-5.1,1762800673,model,system
gpt-4o-mini-audio-preview-2024-12-17,1734115920,model,system
o3-mini-2025-01-31,1738010200,model,system
o3-mini,1737146383,model,system
gpt-5-codex,1757527818,model,system
gpt-4o-realtime-preview-2024-12-17,1733945430,model,system
o3-pro-2025-06-10,1749166761,model,system
gpt-4-1106-preview,1698957206,model,system
babbage-002,1692634615,model,system
gpt-5-chat-latest,1754073306,model,system
gpt-3.5-turbo,1677610602,model,openai
gpt-5-2025-08-07,1754075360,model,system
chatgpt-4o-latest,1723515131,model,system
gpt-4o-transcribe,1742068463,model,system
sora-2,1759708615,model,system
sora-2-pro,1759708663,model,system
gpt-5-pro-2025-10-06,1759469707,model,system
gpt-4o,1715367049,model,system
gpt-5.1-codex,1762988221,model,system
gpt-4o-realtime-preview,1727659998,model,system
gpt-realtime-mini,1759517133,model,system
gpt-realtime-mini-2025-10-06,1759517175,model,system
o4-mini,1744225351,model,system
gpt-4o-realtime-preview-2025-06-03,1748907838,model,system
o4-mini-2025-04-16,1744133506,model,system
gpt-4o-audio-preview,1727460443,model,system
gpt-4o-audio-preview-2025-06-03,1748908498,model,system
gpt-5-pro,1759469822,model,system
text-embedding-3-large,1705953180,model,system
o3-deep-research,1749840121,model,system
o3-deep-research-2025-06-26,1750865219,model,system
gpt-4o-mini-transcribe,1742068596,model,system
gpt-4o-mini-realtime-preview,1734387380,model,system
gpt-4o-mini-realtime-preview-2024-12-17,1734112601,model,system
o3,1744225308,model,system
o3-2025-04-16,1744133301,model,system
gpt-4o-transcribe-diarize,1750798887,model,system
gpt-4o-audio-preview-2024-10-01,1727389042,model,system
gpt-4o-realtime-preview-2024-10-01,1727131766,model,system
