id,type,context_window,capabilities,description,pricing_input,pricing_output,created,pricing_raw,metadata_raw
gpt-5-search-api,,,,,,,2025-10-03 18:03:49,{},{}
gpt-5-search-api-2025-10-14,,,,,,,2025-10-09 21:06:00,{},{}
tts-1,,,,,,,2023-04-19 21:49:11,{},{}
dall-e-2,,,,,,,2023-11-01 00:22:57,{},{}
tts-1-1106,,,,,,,2023-11-03 23:14:01,{},{}
gpt-4-turbo-2024-04-09,,,,,,,2024-04-08 18:41:17,{},{}
gpt-audio,,,,,,,2025-08-28 00:00:49,{},{}
gpt-4o-mini-tts,,,,,,,2025-03-19 17:05:59,{},{}
gpt-4-turbo,,,,,,,2024-04-05 23:57:21,{},{}
gpt-realtime,,,,,,,2025-08-27 05:15:01,{},{}
gpt-realtime-2025-08-28,,,,,,,2025-08-27 05:16:13,{},{}
gpt-4.1-mini,,,,,,,2025-04-10 20:49:33,{},{}
gpt-4.1-mini-2025-04-14,,,,,,,2025-04-10 20:39:07,{},{}
gpt-3.5-turbo-1106,,,,,,,2023-11-02 21:15:48,{},{}
gpt-4-0125-preview,,,,,,,2024-01-23 19:20:12,{},{}
davinci-002,,,,,,,2023-08-21 16:11:41,{},{}
gpt-4-turbo-preview,,,,,,,2024-01-23 19:22:57,{},{}
gpt-4-0613,,,,,,,2023-06-12 16:54:56,{},{}
gpt-4,,,,,,,2023-06-27 16:13:31,{},{}
gpt-4.1,,,,,,,2025-04-10 20:22:22,{},{}
gpt-4.1-2025-04-14,,,,,,,2025-04-10 20:09:06,{},{}
dall-e-3,,,,,,,2023-10-31 20:46:29,{},{}
gpt-4.1-nano,,,,,,,2025-04-10 21:48:27,{},{}
gpt-3.5-turbo-instruct-0914,,,,,,,2023-09-07 21:34:32,{},{}
whisper-1,,,,,,,2023-02-27 21:13:04,{},{}
o1-2024-12-17,,,,,,,2024-12-16 05:29:36,{},{}
gpt-4.1-nano-2025-04-14,,,,,,,2025-04-10 21:37:05,{},{}
gpt-3.5-turbo-16k,,,,,,,2023-05-10 22:35:02,{},{}
gpt-audio-2025-08-28,,,,,,,2025-08-27 00:55:46,{},{}
gpt-3.5-turbo-instruct,,,,,,,2023-08-24 18:23:47,{},{}
gpt-4o-2024-11-20,,,,,,,2025-02-12 03:39:03,{},{}
gpt-4o-2024-05-13,,,,,,,2024-05-10 19:08:52,{},{}
gpt-4o-mini-search-preview,,,,,,,2025-03-07 23:46:01,{},{}
gpt-4o-mini-search-preview-2025-03-11,,,,,,,2025-03-07 23:40:58,{},{}
gpt-5.1-chat-latest,,,,,,,2025-11-07 20:39:11,{},{}
gpt-4o-search-preview,,,,,,,2025-03-07 23:05:20,{},{}
omni-moderation-latest,,,,,,,2024-11-15 16:47:45,{},{}
o1-pro,,,,,,,2025-03-17 22:49:51,{},{}
o1-pro-2025-03-19,,,,,,,2025-03-17 22:45:04,{},{}
gpt-5.1-codex-mini,,,,,,,2025-11-13 04:11:49,{},{}
gpt-4o-search-preview-2025-03-11,,,,,,,2025-03-07 22:56:10,{},{}
text-embedding-3-small,,,,,,,2024-01-22 18:43:17,{},{}
o4-mini-deep-research-2025-06-26,,,,,,,2025-06-25 15:42:01,{},{}
o4-mini-deep-research,,,,,,,2025-06-11 23:44:45,{},{}
codex-mini-latest,,,,,,,2025-05-08 03:00:57,{},{}
gpt-4o-2024-08-06,,,,,,,2024-08-04 23:38:39,{},{}
o1,,,,,,,2024-12-16 19:03:36,{},{}
gpt-4o-mini-2024-07-18,,,,,,,2024-07-16 23:31:57,{},{}
gpt-4o-mini,,,,,,,2024-07-16 23:32:21,{},{}
gpt-4o-mini-audio-preview,,,,,,,2024-12-16 22:17:04,{},{}
gpt-image-1-mini,,,,,,,2025-09-26 00:17:01,{},{}
gpt-5-mini,,,,,,,2025-08-05 20:32:08,{},{}
gpt-image-1,,,,,,,2025-04-24 17:50:30,{},{}
gpt-5-mini-2025-08-07,,,,,,,2025-08-05 20:31:07,{},{}
omni-moderation-2024-09-26,,,,,,,2024-11-27 19:07:46,{},{}
gpt-5,,,,,,,2025-08-05 20:29:37,{},{}
o3-pro,,,,,,,2025-05-28 23:35:49,{},{}
text-embedding-ada-002,,,,,,,2022-12-16 19:01:39,{},{}
gpt-5-nano-2025-08-07,,,,,,,2025-08-05 20:38:23,{},{}
gpt-4o-audio-preview-2024-12-17,,,,,,,2024-12-12 20:10:39,{},{}
gpt-5-nano,,,,,,,2025-08-05 20:39:44,{},{}
gpt-5.1-2025-11-13,,,,,,,2025-11-10 18:45:53,{},{}
tts-1-hd-1106,,,,,,,2023-11-03 23:18:53,{},{}
tts-1-hd,,,,,,,2023-11-03 21:13:35,{},{}
gpt-3.5-turbo-0125,,,,,,,2024-01-23 22:19:18,{},{}
gpt-audio-mini,,,,,,,2025-10-03 17:20:27,{},{}
gpt-audio-mini-2025-10-06,,,,,,,2025-10-03 17:22:17,{},{}
gpt-5.1,,,,,,,2025-11-10 18:51:13,{},{}
gpt-4o-mini-audio-preview-2024-12-17,,,,,,,2024-12-13 18:52:00,{},{}
o3-mini-2025-01-31,,,,,,,2025-01-27 20:36:40,{},{}
o3-mini,,,,,,,2025-01-17 20:39:43,{},{}
gpt-5-codex,,,,,,,2025-09-10 18:10:18,{},{}
gpt-4o-realtime-preview-2024-12-17,,,,,,,2024-12-11 19:30:30,{},{}
o3-pro-2025-06-10,,,,,,,2025-06-05 23:39:21,{},{}
gpt-4-1106-preview,,,,,,,2023-11-02 20:33:26,{},{}
babbage-002,,,,,,,2023-08-21 16:16:55,{},{}
gpt-5-chat-latest,,,,,,,2025-08-01 18:35:06,{},{}
gpt-3.5-turbo,,,,,,,2023-02-28 18:56:42,{},{}
gpt-5-2025-08-07,,,,,,,2025-08-01 19:09:20,{},{}
chatgpt-4o-latest,,,,,,,2024-08-13 02:12:11,{},{}
gpt-4o-transcribe,,,,,,,2025-03-15 19:54:23,{},{}
sora-2,,,,,,,2025-10-05 23:56:55,{},{}
sora-2-pro,,,,,,,2025-10-05 23:57:43,{},{}
gpt-5-pro-2025-10-06,,,,,,,2025-10-03 05:35:07,{},{}
gpt-4o,,,,,,,2024-05-10 18:50:49,{},{}
